year,month,nationality,job_type,count
2025,4,泰國,農、林、漁、牧,4
2025,4,越南,農、林、漁、牧,11
2015,1,印尼,製造,120
2015,1,菲律賓,製造,47
2015,1,泰國,製造,71
2015,1,越南,製造,366
2015,2,印尼,製造,121
2015,2,菲律賓,製造,50
2015,2,泰國,製造,70
2015,2,越南,製造,366
2015,3,印尼,製造,125
2015,3,菲律賓,製造,54
2015,3,泰國,製造,69
2015,3,越南,製造,371
2015,4,印尼,製造,126
2015,4,菲律賓,製造,54
2015,4,泰國,製造,66
2015,4,越南,製造,384
2015,5,印尼,製造,124
2015,5,菲律賓,製造,52
2015,5,泰國,製造,68
2015,5,越南,製造,401
2015,6,印尼,製造,124
2015,6,菲律賓,製造,53
2015,6,泰國,製造,66
2015,6,越南,製造,412
2015,7,印尼,製造,128
2015,7,菲律賓,製造,54
2015,7,泰國,製造,66
2015,7,越南,製造,436
2015,8,印尼,製造,127
2015,8,菲律賓,製造,52
2015,8,泰國,製造,65
2015,8,越南,製造,457
2015,9,印尼,製造,129
2015,9,菲律賓,製造,54
2015,9,泰國,製造,64
2015,9,越南,製造,467
2015,10,印尼,製造,131
2015,10,菲律賓,製造,67
2015,10,泰國,製造,61
2015,10,越南,製造,469
2015,11,印尼,製造,134
2015,11,菲律賓,製造,70
2015,11,泰國,製造,62
2015,11,越南,製造,477
2015,12,印尼,製造,139
2015,12,菲律賓,製造,69
2015,12,泰國,製造,62
2015,12,越南,製造,492
2016,1,印尼,製造,146
2016,1,菲律賓,製造,70
2016,1,泰國,製造,61
2016,1,越南,製造,487
2016,2,印尼,製造,143
2016,2,菲律賓,製造,69
2016,2,泰國,製造,59
2016,2,越南,製造,487
2016,3,印尼,製造,147
2016,3,菲律賓,製造,67
2016,3,泰國,製造,54
2016,3,越南,製造,485
2016,4,印尼,製造,145
2016,4,菲律賓,製造,65
2016,4,泰國,製造,55
2016,4,越南,製造,484
2016,5,印尼,製造,144
2016,5,菲律賓,製造,67
2016,5,泰國,製造,54
2016,5,越南,製造,501
2016,6,印尼,製造,146
2016,6,菲律賓,製造,69
2016,6,泰國,製造,58
2016,6,越南,製造,525
2016,7,印尼,製造,149
2016,7,菲律賓,製造,71
2016,7,泰國,製造,57
2016,7,越南,製造,517
2016,8,印尼,製造,150
2016,8,菲律賓,製造,71
2016,8,泰國,製造,53
2016,8,越南,製造,520
2016,9,印尼,製造,148
2016,9,菲律賓,製造,98
2016,9,泰國,製造,51
2016,9,越南,製造,526
2016,10,印尼,製造,143
2016,10,菲律賓,製造,100
2016,10,泰國,製造,52
2016,10,越南,製造,547
2016,11,印尼,製造,151
2016,11,菲律賓,製造,99
2016,11,泰國,製造,50
2016,11,越南,製造,562
2016,12,印尼,製造,152
2016,12,菲律賓,製造,94
2016,12,泰國,製造,48
2016,12,越南,製造,571
2017,1,印尼,製造,157
2017,1,菲律賓,製造,97
2017,1,泰國,製造,45
2017,1,越南,製造,578
2017,2,印尼,製造,156
2017,2,菲律賓,製造,95
2017,2,泰國,製造,49
2017,2,越南,製造,575
2017,3,印尼,製造,163
2017,3,菲律賓,製造,97
2017,3,泰國,製造,51
2017,3,越南,製造,593
2017,4,印尼,製造,172
2017,4,菲律賓,製造,104
2017,4,泰國,製造,52
2017,4,越南,製造,615
2017,5,印尼,製造,205
2017,5,菲律賓,製造,107
2017,5,泰國,製造,52
2017,5,越南,製造,619
2017,6,印尼,製造,210
2017,6,菲律賓,製造,118
2017,6,泰國,製造,51
2017,6,越南,製造,607
2017,7,印尼,製造,208
2017,7,菲律賓,製造,116
2017,7,泰國,製造,54
2017,7,越南,製造,618
2017,8,印尼,製造,212
2017,8,菲律賓,製造,116
2017,8,泰國,製造,57
2017,8,越南,製造,633
2017,9,印尼,製造,211
2017,9,菲律賓,製造,116
2017,9,泰國,製造,56
2017,9,越南,製造,648
2017,10,印尼,製造,209
2017,10,菲律賓,製造,115
2017,10,泰國,製造,56
2017,10,越南,製造,670
2017,11,印尼,製造,208
2017,11,菲律賓,製造,116
2017,11,泰國,製造,54
2017,11,越南,製造,673
2017,12,印尼,製造,210
2017,12,菲律賓,製造,116
2017,12,泰國,製造,56
2017,12,越南,製造,671
2018,1,印尼,製造,208
