"統計期","縣市別/國籍別","農、林、漁、牧","製造","營建","看護工","家庭幫傭"
"107年 12月底","新北市/ 馬來西亞",－,－,－,－,－
"107年 12月底","新北市/ 菲律賓",208,8627,－,4207,41
"107年 12月底","新北市/ 泰國",3,6887,656,52,－
"107年 12月底","新北市/ 越南",281,26641,60,3297,3
"107年 12月底","新北市/ 蒙古",－,－,－,－,－
"107年 12月底","新北市/ 其他",－,－,－,－,－
"108年 1月底","新北市/ 印尼",1407,6562,28,28345,135
"108年 1月底","新北市/ 馬來西亞",－,－,－,－,－
"108年 1月底","新北市/ 菲律賓",211,8644,－,4219,39
"108年 1月底","新北市/ 泰國",3,6848,615,48,－
"108年 1月底","新北市/ 越南",281,26533,52,3274,2
"108年 1月底","新北市/ 蒙古",－,－,－,－,－
"108年 1月底","新北市/ 其他",－,－,－,－,－
"108年 2月底","新北市/ 印尼",1404,6543,28,28306,136
"108年 2月底","新北市/ 馬來西亞",－,－,－,－,－
"108年 2月底","新北市/ 菲律賓",215,8575,－,4253,39
"108年 2月底","新北市/ 泰國",3,6771,597,50,－
"108年 2月底","新北市/ 越南",270,26321,49,3246,2
"108年 2月底","新北市/ 蒙古",－,－,－,－,－
"108年 2月底","新北市/ 其他",－,－,－,－,－
"108年 3月底","新北市/ 印尼",1429,6582,28,28395,136
"108年 3月底","新北市/ 馬來西亞",－,－,－,－,－
"108年 3月底","新北市/ 菲律賓",209,8618,－,4210,40
"108年 3月底","新北市/ 泰國",3,6714,544,48,－
"108年 3月底","新北市/ 越南",252,26422,47,3181,2
"108年 3月底","新北市/ 蒙古",－,－,－,－,－
"108年 3月底","新北市/ 其他",－,－,－,－,－
"108年 4月底","新北市/ 印尼",1453,6585,27,28466,138
"108年 4月底","新北市/ 馬來西亞",－,－,－,－,－
"108年 4月底","新北市/ 菲律賓",203,8699,－,4245,43
"108年 4月底","新北市/ 泰國",3,6667,518,46,－
"108年 4月底","新北市/ 越南",243,26651,41,3181,2
"108年 4月底","新北市/ 蒙古",－,－,－,－,－
"108年 4月底","新北市/ 其他",－,－,－,－,－
"108年 5月底","新北市/ 印尼",1449,6584,24,28274,134
"108年 5月底","新北市/ 馬來西亞",－,－,－,－,－
"108年 5月底","新北市/ 菲律賓",198,8777,－,4236,44
"108年 5月底","新北市/ 泰國",3,6713,512,49,－
"108年 5月底","新北市/ 越南",230,26692,32,3163,1
"108年 5月底","新北市/ 蒙古",－,－,－,－,－
"108年 5月底","新北市/ 其他",－,－,－,－,－
"108年 6月底","新北市/ 印尼",1461,6577,13,28405,137
"108年 6月底","新北市/ 馬來西亞",－,－,－,－,－
"108年 6月底","新北市/ 菲律賓",195,8785,－,4201,44
"108年 6月底","新北市/ 泰國",3,6892,418,50,－
"108年 6月底","新北市/ 越南",236,26838,31,3187,1
"108年 6月底","新北市/ 蒙古",－,－,－,－,－
"108年 6月底","新北市/ 其他",－,－,－,－,－
"108年 7月底","新北市/ 印尼",1482,6670,2,28510,137
"108年 7月底","新北市/ 馬來西亞",－,－,－,－,－
"108年 7月底","新北市/ 菲律賓",200,8790,－,4212,43
"108年 7月底","新北市/ 泰國",3,6887,425,48,－
"108年 7月底","新北市/ 越南",240,26765,32,3200,1
"108年 7月底","新北市/ 蒙古",－,－,－,－,－
"108年 7月底","新北市/ 其他",－,－,－,－,－
"108年 8月底","新北市/ 印尼",1472,6704,2,28599,132
"108年 8月底","新北市/ 馬來西亞",－,－,－,－,－
"108年 8月底","新北市/ 菲律賓",199,8796,－,4257,44
"108年 8月底","新北市/ 泰國",8,6916,380,46,－
"108年 8月底","新北市/ 越南",237,26732,32,3202,1
"108年 8月底","新北市/ 蒙古",－,－,－,－,－
"108年 8月底","新北市/ 其他",－,－,－,－,－
"108年 9月底","新北市/ 印尼",1479,6654,31,28773,132
"108年 9月底","新北市/ 馬來西亞",－,－,－,－,－
"108年 9月底","新北市/ 菲律賓",205,8864,－,4262,45
"108年 9月底","新北市/ 泰國",8,6938,370,46,－
"108年 9月底","新北市/ 越南",249,26666,31,3232,1
"108年 9月底","新北市/ 蒙古",－,－,－,－,－
"108年 9月底","新北市/ 其他",－,－,－,－,－
"108年 10月底","新北市/ 印尼",1494,6694,38,29074,132
"108年 10月底","新北市/ 馬來西亞",－,－,－,－,－
"108年 10月底","新北市/ 菲律賓",200,9000,－,4297,45
"108年 10月底","新北市/ 泰國",8,6839,352,39,－
"108年 10月底","新北市/ 越南",249,26758,30,3235,1
"108年 10月底","新北市/ 蒙古",－,－,－,－,－
"108年 10月底","新北市/ 其他",－,－,－,－,－
"108年 11月底","新北市/ 印尼",1507,6717,87,29225,132
"108年 11月底","新北市/ 馬來西亞",－,－,－,－,－
"108年 11月底","新北市/ 菲律賓",197,8997,－,4303,44
"108年 11月底","新北市/ 泰國",8,6850,319,44,－
"108年 11月底","新北市/ 越南",260,26759,27,3218,－
"108年 11月底","新北市/ 蒙古",－,－,－,－,－
"108年 11月底","新北市/ 其他",－,－,－,－,－
"108年 12月底","新北市/ 印尼",1468,6705,92,29277,131
"108年 12月底","新北市/ 馬來西亞",－,－,－,－,－
"108年 12月底","新北市/ 菲律賓",192,9074,－,4240,43
"108年 12月底","新北市/ 泰國",8,6841,309,42,1
"108年 12月底","新北市/ 越南",254,26923,27,3250,－
"108年 12月底","新北市/ 蒙古",－,－,－,－,－
"108年 12月底","新北市/ 其他",－,－,－,－,－
"109年 1月底","新北市/ 印尼",1456,6657,108,29495,129
"109年 1月底","新北市/ 馬來西亞",－,－,－,－,－
"109年 1月底","新北市/ 菲律賓",185,9077,－,4297,44
"109年 1月底","新北市/ 泰國",8,6727,281,43,1
"109年 1月底","新北市/ 越南",248,26315,26,3230,－
"109年 1月底","新北市/ 蒙古",－,－,－,－,－
"109年 1月底","新北市/ 其他",－,－,－,－,－
"109年 2月底","新北市/ 印尼",1400,6703,231,29499,130
"109年 2月底","新北市/ 馬來西亞",－,－,－,－,－
"109年 2月底","新北市/ 菲律賓",177,9175,－,4299,44
"109年 2月底","新北市/ 泰國",8,6717,271,43,1
"109年 2月底","新北市/ 越南",237,26468,21,3202,－
"109年 2月底","新北市/ 蒙古",－,－,－,－,－
"109年 2月底","新北市/ 其他",－,－,－,－,－
"109年 3月底","新北市/ 印尼",1426,6710,230,29598,130
"109年 3月底","新北市/ 馬來西亞",－,－,－,－,－
"109年 3月底","新北市/ 菲律賓",185,9146,－,4312,45
"109年 3月底","新北市/ 泰國",8,6664,306,44,1
"109年 3月底","新北市/ 越南",222,26425,19,3202,－
"109年 3月底","新北市/ 蒙古",－,－,－,－,－
"109年 3月底","新北市/ 其他",－,－,－,－,－
"109年 4月底","新北市/ 印尼",1484,6623,229,29504,130
"109年 4月底","新北市/ 馬來西亞",－,－,－,－,－
"109年 4月底","新北市/ 菲律賓",188,9041,－,4291,45
"109年 4月底","新北市/ 泰國",8,6597,326,42,1
"109年 4月底","新北市/ 越南",190,26177,16,3186,－
"109年 4月底","新北市/ 蒙古",－,－,－,－,－
"109年 4月底","新北市/ 其他",－,－,－,－,－
"109年 5月底","新北市/ 印尼",1461,6548,228,29253,123
"109年 5月底","新北市/ 馬來西亞",－,－,－,－,－
"109年 5月底","新北市/ 菲律賓",197,8883,－,4282,48
"109年 5月底","新北市/ 泰國",8,6559,318,42,1
"109年 5月底","新北市/ 越南",205,25930,13,3170,－
"109年 5月底","新北市/ 蒙古",－,－,－,－,－
"109年 5月底","新北市/ 其他",－,－,－,－,－
