"統計期","縣市別/國籍別","農、林、漁、牧","製造","營建","看護工","家庭幫傭"
"106年 10月底","臺北市/ 其他",－,－,－,－,－
"106年 11月底","臺北市/ 印尼",45,208,467,28039,314
"106年 11月底","臺北市/ 馬來西亞",－,－,－,－,－
"106年 11月底","臺北市/ 菲律賓",22,116,－,5922,245
"106年 11月底","臺北市/ 泰國",1,54,641,68,6
"106年 11月底","臺北市/ 越南",6,673,157,1884,7
"106年 11月底","臺北市/ 蒙古",－,－,－,－,－
"106年 11月底","臺北市/ 其他",－,－,－,－,－
"106年 12月底","臺北市/ 印尼",42,210,437,28093,314
"106年 12月底","臺北市/ 馬來西亞",－,－,－,－,－
"106年 12月底","臺北市/ 菲律賓",21,116,－,5836,246
"106年 12月底","臺北市/ 泰國",1,56,590,68,6
"106年 12月底","臺北市/ 越南",6,671,198,1877,7
"106年 12月底","臺北市/ 蒙古",－,－,－,－,－
"106年 12月底","臺北市/ 其他",－,－,－,－,－
"107年 1月底","臺北市/ 印尼",39,208,417,28195,309
"107年 1月底","臺北市/ 馬來西亞",－,－,－,－,－
"107年 1月底","臺北市/ 菲律賓",21,118,－,5871,253
"107年 1月底","臺北市/ 泰國",－,58,549,67,6
"107年 1月底","臺北市/ 越南",7,666,243,1880,8
"107年 1月底","臺北市/ 蒙古",－,－,－,－,－
"107年 1月底","臺北市/ 其他",－,－,－,－,－
"107年 2月底","臺北市/ 印尼",39,208,323,28271,314
"107年 2月底","臺北市/ 馬來西亞",－,－,－,－,－
"107年 2月底","臺北市/ 菲律賓",21,116,－,5876,253
"107年 2月底","臺北市/ 泰國",－,59,520,66,6
"107年 2月底","臺北市/ 越南",8,663,224,1890,9
"107年 2月底","臺北市/ 蒙古",－,－,－,－,－
"107年 2月底","臺北市/ 其他",－,－,－,－,－
"107年 3月底","臺北市/ 印尼",42,207,230,28290,321
"107年 3月底","臺北市/ 馬來西亞",－,－,－,－,－
"107年 3月底","臺北市/ 菲律賓",17,115,－,5834,245
"107年 3月底","臺北市/ 泰國",－,57,471,66,6
"107年 3月底","臺北市/ 越南",7,650,242,1856,7
"107年 3月底","臺北市/ 蒙古",－,－,－,－,－
"107年 3月底","臺北市/ 其他",－,－,－,－,－
"107年 4月底","臺北市/ 印尼",49,206,170,28267,326
"107年 4月底","臺北市/ 馬來西亞",－,－,－,－,－
"107年 4月底","臺北市/ 菲律賓",17,116,－,5837,242
"107年 4月底","臺北市/ 泰國",－,57,437,68,5
"107年 4月底","臺北市/ 越南",6,658,241,1833,7
"107年 4月底","臺北市/ 蒙古",－,－,－,－,－
"107年 4月底","臺北市/ 其他",－,－,－,－,－
"107年 5月底","臺北市/ 印尼",52,210,144,28193,315
"107年 5月底","臺北市/ 馬來西亞",－,－,－,－,－
"107年 5月底","臺北市/ 菲律賓",11,117,－,5825,244
"107年 5月底","臺北市/ 泰國",－,59,470,65,5
"107年 5月底","臺北市/ 越南",5,656,265,1837,7
"107年 5月底","臺北市/ 蒙古",－,－,－,－,－
"107年 5月底","臺北市/ 其他",－,－,－,－,－
"107年 6月底","臺北市/ 印尼",52,208,131,28080,312
"107年 6月底","臺北市/ 馬來西亞",－,－,－,－,－
"107年 6月底","臺北市/ 菲律賓",11,117,－,5861,243
"107年 6月底","臺北市/ 泰國",－,59,467,65,5
"107年 6月底","臺北市/ 越南",5,663,252,1847,6
"107年 6月底","臺北市/ 蒙古",－,－,－,－,－
"107年 6月底","臺北市/ 其他",－,－,－,－,－
"107年 7月底","臺北市/ 印尼",58,210,118,28085,312
"107年 7月底","臺北市/ 馬來西亞",－,－,－,－,－
"107年 7月底","臺北市/ 菲律賓",11,117,－,5892,249
"107年 7月底","臺北市/ 泰國",－,60,553,66,5
"107年 7月底","臺北市/ 越南",4,688,247,1857,5
"107年 7月底","臺北市/ 蒙古",－,－,－,－,－
