場所名稱,場所地址,區域代碼,緯度,經度,場所分類,場所類型,AED放置地點
臺北市中正運動中心,信義路一段1號,63000050,25.038234,121.519291,學校、大型集會場所,健身中心,7樓羽球場
臺北市中山堂管理所,延平南路98號,63000050,25.043085,121.510168,大型休閒場所,演藝廳,中正廳入口
臺北市公有永春市場,松山路294號,63000020,25.043229,121.577153,其他,其他場所,永春市場一樓128攤位旁
國立臺灣師範大學校本部(和平東路1段162號) ,和平東路1段162號,63000030,25.02603,121.528283,學校、大型集會場所,大專院校,校本部誠大樓6樓
臺北市立啟明學校,忠誠路二段207巷1號,63000110,25.116621,121.534969,學校、大型集會場所,高中職,本校學務處旁川堂
臺北市立啟聰學校,重慶北路3段320號,63000060,25.074684,121.513385,學校、大型集會場所,高中職,一樓健康中心
財團法人臺北市會展產業發展基金會(花博公園圓山園區),玉門街一號,63000040,25.070064,121.520483,其他,其他場所,爭豔館內
臺北自來水園區,思源街1號(臺北自來水園區),63000050,25.013286,121.530253,觀光旅遊地區,地方政府主管風景區,思源票口
臺北市北投區健康服務中心,石牌路二段111號,63000120,25.118031,121.517118,其他,其他場所,1樓服務台
臺北市饒河街觀光夜市,饒河街186號2樓,63000010,25.0506881,121.5765572,其他,其他場所,藥局前
中國文化大學 大恩館,華岡路55號,63000110,25.136543,121.538749,學校、大型集會場所,大專院校,曉峰紀念館(圖書館)
台北二二八紀念館,凱達格蘭大道3號,63000050,25.040363,121.515469,大型休閒場所,博物館,1樓服務台
陽明公園,湖山路2段26號,63000120,25.159213,121.540131,其他,其他場所,遊客服務中心
臺北市立臺北特殊教育學校,忠誠路二段207巷3號,63000110,25.116617,121.536225,學校、大型集會場所,高中職,一樓健康中心
財團法人台北市文化基金會西門紅樓,成都路10號1樓,63000070,25.042065,121.506935,其他,其他場所,西門紅樓八角樓
東吳大學(雙溪校區),臨溪路70號,63000110,25.094004,121.546276,學校、大型集會場所,大專院校,第一教研大樓門口
天母運動場區網球場,忠誠路二段77號,63000110,25.113749,121.535564,其他,其他場所,網球場辦公室南側大門旁
臺北市立天文科學教育館,基河路363號,63000110,25.095829,121.518299,大型休閒場所,博物館,一樓大廳哺集乳室旁
南機場臨時攤販集中場,中華路2段313巷30號1樓,63000050,25.028629,121.506825,其他,其他場所,南機場夜市自治會辦公室(台北市中華路2段309巷26號)
關渡自然公園,關渡路55號,63000120,25.119378,121.471433,觀光旅遊地區,地方政府主管風景區,自然中心一樓
國立臺灣師範大學校本部(和平東路1段162號) ,和平東路1段162號,63000030,25.02603,121.528283,學校、大型集會場所,大專院校,本校游泳館內
臺北市公有長春市場,長春路299號,63000040,25.054729,121.542336,其他,其他場所,長春路側出入口
統一綜合證券股份有限公司,東興路8號1樓,63000010,25.050271,121.565177,其他,其他場所,1樓大廳
中央研究院,研究院路2段128號,63000090,25.042905,121.613095,其他,其他場所,綜合體育館大廳
中國信託商業銀行 (行政大樓),安康路22巷33號,63000100,25.0614696,121.5941194,其他,其他場所,行政大樓大廳
教育部第三辦公室,徐州路48-1號,63000050,25.040115,121.525078,其他,其他場所,2樓大廳正面左側
合作金庫商業銀行-員工訓練中心,中山北路七段81巷49號,63000110,25.12302961,121.5287632,其他,其他場所,1樓警衛櫃台前
臺北市立大同幼兒園,南京西路64巷9弄8號,63000060,25.0523135,121.5190018,其他,其他場所,臺北市立大同幼兒園內的接送室走廊處
臺北市立石牌國民中學,石牌路一段139號,63000120,25.114965,121.514231,學校、大型集會場所,國中,操場內的司令台後方
凱基證券(台開大樓),重慶南路1段2號14樓,63000050,25.0468931,121.5134161,其他,其他場所,台開大樓14樓
台北遠百信義A13威秀影城,松仁路58號10樓,63000020,25.036882,121.568314,大型購物場所,商場,售票大廳
國立臺灣師範大學校本部(師大路11號) ,師大路11號,63000030,25.025765,121.528664,學校、大型集會場所,大專院校,校本部男一舍1樓
