年份,月份,性別,總計,阿美族數量,泰雅族數量,排灣族數量,布農族數量,魯凱族數量,卑南族數量,鄒族數量,賽夏族數量,雅美族數量,邵族數量,噶瑪蘭族數量,太魯閣族數量,撒奇萊雅族數量,賽德克族數量,拉阿魯哇族數量,卡那卡那富族數量,尚未申報
113,11,計,18461,8731,3215,1936,1242,272,563,187,217,70,46,52,1051,41,283,3,0,552
113,11,男,8065,3896,1388,848,529,117,262,72,104,26,12,26,450,16,113,0,0,206
113,11,女,10396,4835,1827,1088,713,155,301,115,113,44,34,26,601,25,170,3,0,346
113,12,計,18543,8763,3237,1954,1239,276,564,189,217,71,46,52,1053,40,287,3,0,552
113,12,男,8104,3915,1400,855,525,119,262,73,104,27,12,26,449,16,116,0,0,205
113,12,女,10439,4848,1837,1099,714,157,302,116,113,44,34,26,604,24,171,3,0,347
114,1,計,18606,8783,3257,1968,1237,276,566,189,217,70,46,55,1057,40,292,3,0,550
114,1,男,8145,3934,1413,861,522,119,262,73,104,27,12,27,452,16,118,0,0,205
114,1,女,10461,4849,1844,1107,715,157,304,116,113,43,34,28,605,24,174,3,0,345
114,2,計,18678,8821,3271,1967,1236,277,576,191,218,70,48,56,1064,41,292,3,1,546
114,2,男,8197,3960,1425,861,519,122,268,74,105,27,13,27,456,16,120,0,1,203
114,2,女,10481,4861,1846,1106,717,155,308,117,113,43,35,29,608,25,172,3,0,343
114,3,計,18677,8837,3267,1959,1231,276,576,192,218,69,48,57,1068,40,297,3,1,538
114,3,男,8187,3969,1419,855,516,122,267,75,104,26,13,28,455,15,123,0,1,199
114,3,女,10490,4868,1848,1104,715,154,309,117,114,43,35,29,613,25,174,3,0,339
114,4,計,18756,8886,3284,1976,1224,278,577,192,221,68,46,61,1063,40,304,3,1,532
114,4,男,8218,3987,1425,863,513,123,267,75,106,26,13,30,451,15,127,0,1,196
114,4,女,10538,4899,1859,1113,711,155,310,117,115,42,33,31,612,25,177,3,0,336
