年月,區域別,性別,原住民人口數_合計數量,原住民人口數_平地原住民數量,原住民人口數_山地原住民數量
111年12月,南港區,男,648,459,189
111年12月,南港區,女,846,582,264
111年12月,內湖區,計,2493,1646,847
111年12月,內湖區,男,1065,725,340
111年12月,內湖區,女,1428,921,507
111年12月,士林區,計,1691,956,735
111年12月,士林區,男,730,422,308
111年12月,士林區,女,961,534,427
111年12月,北投區,計,1692,1012,680
111年12月,北投區,男,716,442,274
111年12月,北投區,女,976,570,406
112年1月,總計,計,16990,9913,7077
112年1月,總計,男,7260,4340,2920
112年1月,總計,女,9730,5573,4157
112年1月,松山區,計,908,502,406
112年1月,松山區,男,370,204,166
112年1月,松山區,女,538,298,240
112年1月,信義區,計,1093,599,494
112年1月,信義區,男,446,253,193
112年1月,信義區,女,647,346,301
112年1月,大安區,計,1115,584,531
112年1月,大安區,男,479,262,217
112年1月,大安區,女,636,322,314
112年1月,中山區,計,1393,766,627
112年1月,中山區,男,576,336,240
112年1月,中山區,女,817,430,387
112年1月,中正區,計,737,422,315
112年1月,中正區,男,336,199,137
112年1月,中正區,女,401,223,178
112年1月,大同區,計,761,419,342
112年1月,大同區,男,333,192,141
112年1月,大同區,女,428,227,201
112年1月,萬華區,計,1393,759,634
112年1月,萬華區,男,603,332,271
112年1月,萬華區,女,790,427,363
112年1月,文山區,計,2213,1200,1013
112年1月,文山區,男,963,516,447
112年1月,文山區,女,1250,684,566
112年1月,南港區,計,1494,1039,455
112年1月,南港區,男,645,458,187
112年1月,南港區,女,849,581,268
112年1月,內湖區,計,2498,1650,848
112年1月,內湖區,男,1063,725,338
112年1月,內湖區,女,1435,925,510
112年1月,士林區,計,1696,961,735
112年1月,士林區,男,730,422,308
112年1月,士林區,女,966,539,427
112年1月,北投區,計,1689,1012,677
112年1月,北投區,男,716,441,275
112年1月,北投區,女,973,571,402
112年2月,總計,計,16985,9911,7074
112年2月,總計,男,7256,4332,2924
112年2月,總計,女,9729,5579,4150
112年2月,松山區,計,907,503,404
112年2月,松山區,男,369,204,165
112年2月,松山區,女,538,299,239
112年2月,信義區,計,1094,604,490
112年2月,信義區,男,450,256,194
112年2月,信義區,女,644,348,296
112年2月,大安區,計,1110,581,529
112年2月,大安區,男,473,259,214
112年2月,大安區,女,637,322,315
112年2月,中山區,計,1392,766,626
112年2月,中山區,男,571,333,238
112年2月,中山區,女,821,433,388
112年2月,中正區,計,737,422,315
112年2月,中正區,男,335,199,136
112年2月,中正區,女,402,223,179
112年2月,大同區,計,761,419,342
112年2月,大同區,男,334,193,141
112年2月,大同區,女,427,226,201
112年2月,萬華區,計,1391,753,638
112年2月,萬華區,男,600,327,273
112年2月,萬華區,女,791,426,365
112年2月,文山區,計,2212,1201,1011
112年2月,文山區,男,961,514,447
112年2月,文山區,女,1251,687,564
112年2月,南港區,計,1492,1037,455
112年2月,南港區,男,648,460,188
112年2月,南港區,女,844,577,267
112年2月,內湖區,計,2498,1648,850
112年2月,內湖區,男,1061,723,338
112年2月,內湖區,女,1437,925,512
112年2月,士林區,計,1690,959,731
112年2月,士林區,男,731,422,309
112年2月,士林區,女,959,537,422
112年2月,北投區,計,1701,1018,683
112年2月,北投區,男,723,442,281
112年2月,北投區,女,978,576,402
112年3月,總計,計,16986,9925,7061
112年3月,總計,男,7262,4343,2919
112年3月,總計,女,9724,5582,4142
112年3月,松山區,計,913,509,404
