name,district,address,category,location_desc
新北市三重區三重國民小學,三重區,新北市三重區三和路三段1號,學校、大型集會場所,三重國小穿堂
新北市三重區中央公有零售市場,三重區,新北市三重區中央北路26號,其他,市場1樓後門佈告欄旁
新北市三重區光明公有零售市場,三重區,新北市三重區重安街70號,大型購物場所,市場1樓前側出入口左側柱
新北市立三重高級中學,三重區,新北市三重區集美街212號,學校、大型集會場所,警衛室門口
新北市立三重高級中學,三重區,新北市三重區集美街212號,學校、大型集會場所,行健館
新北市三重區農會慈福分部,三重區,新北市三重區仁愛街389號,其他,營業廳
新北市三重區綜合體育館,三重區,新北市三重區新北大道一段2號,其他,1樓大廳
新北市三重區重陽國民小學,三重區,新北市三重區中正北路113號,學校、大型集會場所,4樓藝文中心
新北市立明志國民中學,三重區,新北市三重區中正北路107號,學校、大型集會場所,警衛室
新北市三重區興華市民活動中心,三重區,新北市三重區中華路5號,其他,興華活動中心側門旁
新北市三重區過圳市民活動中心,三重區,新北市三重區過圳街19號,其他,1樓活動場所
國都汽車股份有限公司三重營業所,三重區,新北市三重區三重區重陽路一段10號,其他,營業所展示間
清傳學校財團法人新北市清傳高級商業職業學校,三重區,新北市三重區五谷王北街141巷1號,學校、大型集會場所,學校教學大樓1樓中廊
新北市政府警察局交通警察大隊三峽分隊,三峽區,新北市三峽區中正路二段451號2樓,其他,分隊2樓
新北市三峽區公所,三峽區,新北市三峽區中山路17號,其他,1樓民眾休息區旁
新北市政府警察局三峽分局警備隊,三峽區,新北市三峽區中正路一段48號2樓,其他,新北市三峽區中正路一段48號2樓
新北市立安溪國民中學,三峽區,新北市三峽區大同路135號,學校、大型集會場所,健康中心門口
新北市政府警察局三峽分局插角派出所,三峽區,新北市三峽區插角里67-1號,其他,派出所一樓
新北市政府警察局三峽分局北大派出所,三峽區,新北市三峽區學成路396號,其他,本所值班台前
新北市政府警察局三峽分局偵查隊,三峽區,新北市三峽區中正路一段48號,其他,偵查隊一樓辦公室
鴻欣護理之家,三峽區,新北市三峽區三樹路168巷48號,其他,鴻欣護理之家A08房外
新北市三峽區龍埔國民小學,三峽區,新北市三峽區大學路6號,學校、大型集會場所,展演廳門口右側
新北市政府警察局三峽分局橫溪派出所,三峽區,新北市三峽區介壽路3段49號,其他,派出所一樓
新北市三峽區介壽國民小學,三峽區,新北市三峽區大同路1號,學校、大型集會場所,健康中心旁的川堂
新北市立三峽國民中學,三峽區,新北市三峽區復興路238號,學校、大型集會場所,健康中心旁穿堂
新北市政府環境保護局三峽區清潔隊,三峽區,新北市三峽區隆恩街243號,其他,辦公室1樓樓梯口
新北市政府警察局三峽分局北大派出所,三峽區,新北市三峽區學成路396號,其他,派出所一樓
新北市三鶯國民運動中心,三峽區,新北市三峽區文化路210巷12號,學校、大型集會場所,三樓體適能中心
新北市三鶯國民運動中心,三峽區,新北市三峽區文化路210巷12號,學校、大型集會場所,一樓游泳池
大板根溫泉度假酒店,三峽區,新北市三峽區插角里79號,大型公眾浴場或溫泉區,酒店1樓接待大廳
臺北大學運動場地下停車場,三峽區,新北市三峽區大學路151號,學校、大型集會場所,停車場管理室
大智通文化行銷股份有限公司(三峽DC),三峽區,新北市三峽區中正路一段310號,其他,1樓打卡機旁
新北市三峽區中園國民小學,三峽區,新北市三峽區弘園街22號,學校、大型集會場所,中園國小門廳內右側
新北市三峽區公有零售市場,三峽區,新北市三峽區民生街186號,其他,市場1樓廁所旁
新北市三峽區成福國民小學,三峽區,新北市三峽區溪東路213號,學校、大型集會場所,圖書館室內
新北市三峽區成福國民小學,三峽區,新北市三峽區溪東路213號,學校、大型集會場所,學生活動中心二樓的室內左側
新北市三峽區成福國民小學,三峽區,新北市三峽區溪東路213號,學校、大型集會場所,警衛室走廊
新北市三峽區成福國民小學,三峽區,新北市三峽區溪東路213號,學校、大型集會場所,健康中心走廊
新北市政府殯葬管理處三峽火化場,三峽區,新北市三峽區介壽路3段260巷1號,學校、大型集會場所,火化場
紫微森林景觀餐廳,三峽區,新北市三峽區紫微南路97-1號,其他,一樓櫃台旁
新北市三峽區生命紀念館,三峽區,新北市三峽區添福里添福81號,學校、大型集會場所,新北市三峽生命紀念館
新北市三峽區三峽國民小學,三峽區,新北市三峽區中山路16號,學校、大型集會場所,校門口入口行政大樓1樓川堂
國立臺北大學三峽校區,三峽區,新北市三峽區大學路151號,學校、大型集會場所,正門
三峽分局三峽派出所,三峽區,新北市三峽區民權街38號,其他,三峽派出所一樓大門
新北市政府警察局三峽分局吉埔派出所,三峽區,新北市三峽區中正路二段451號,其他,新北市三峽區中正路二段451號
新北市三峽區衛生所,三峽區,新北市三峽區光明路71號3樓(三峽行政大樓),其他,衛生所2號診間內
新北市三峽區民義國民小學,三峽區,新北市三峽區白雞路40號,學校、大型集會場所,耕讀樓
新北市三峽區大埔國民小學,三峽區,新北市三峽區大埔路130號,學校、大型集會場所,樂學樓1樓穿堂警衛室對面
新北市環境保護局三峽掩埋場,三峽區,新北市三峽區中正路三段262號,其他,三峽掩埋場行政大樓
行政院農委會林務局新竹林區管理處滿月圓國家森林遊樂區,三峽區,新北市三峽區有木里174之1號,觀光旅遊地區,滿月圓國家森林遊樂區大門入園10公尺
